gsound 1.0.3-1
gspell 1.8.4-1
gssdp 1.4.0.1-1
gssproxy 0.8.4-1
gst-editing-services 1.18.5-1
gst-libav 1.18.5-1
gst-plugin-gtk 1.18.5-2
gst-plugin-pipewire 1:0.3.40-1
gst-plugins-bad 1.18.5-3
gst-plugins-bad-libs 1.18.5-3
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
gstreamer 1.18.5-1
gtest 1.11.0-1
gtk-doc 1.33.2-1
gtk-layer-shell 0.6.0-1
gtk-update-icon-cache 1:4.4.1-1
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk3 1:3.24.30+90+g20be04f7ac-1
gtk4 1:4.4.1-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.2-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
guile 2.2.7-2
gunicorn 20.1.0-1
gupnp 1:1.4.0-1
gupnp-av 0.14.0-1
gupnp-dlna 0.12.0-1
gupnp-igd 1.2.0-2
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-goa 1.48.1-1
gvfs-google 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.11-1
harfbuzz 3.1.2-1
harfbuzz-icu 3.1.2-1
haskell-aeson 1.5.6.0-57
haskell-aeson-pretty 0.8.9-7
haskell-ansi-terminal 0.11-181
haskell-ansi-wl-pprint 0.6.9-239
haskell-appar 0.1.8-12
haskell-asn1-encoding 0.9.6-138
haskell-asn1-parse 0.9.5-138
haskell-asn1-types 0.3.4-117
haskell-assoc 1.0.2-108
haskell-async 2.2.3-88
haskell-attoparsec 0.14.1-37
haskell-base-compat 0.11.2-6
haskell-base-compat-batteries 0.11.2-161
haskell-base-orphans 0.8.5-14
haskell-base-unicode-symbols 0.2.4.2-12
haskell-base16-bytestring 1.0.1.0-74
haskell-base64-bytestring 1.2.1.0-15
haskell-basement 0.0.12-3
haskell-bifunctors 5.5.11-33
haskell-bitarray 0.0.1.1-22
haskell-blaze-builder 0.4.2.2-1
haskell-blaze-html 0.9.1.2-138
haskell-blaze-markup 0.8.2.8-44
haskell-byteable 0.1.1-24
haskell-byteorder 1.0.4-23
haskell-case-insensitive 1.2.1.0-117
haskell-cereal 0.5.8.2-1
haskell-citeproc 0.4.1-43
haskell-cmark-gfm 0.2.2-93
haskell-cmdargs 0.10.21-3
haskell-colour 2.3.6-38
haskell-commonmark 0.2.1-22
haskell-commonmark-extensions 0.2.1.2-29
haskell-commonmark-pandoc 0.2.1.1-26
haskell-comonad 5.0.8-112
haskell-conduit 1.3.4.2-9
haskell-conduit-extra 1.3.5-178
haskell-connection 0.3.1-152
haskell-cookie 0.4.5-11
haskell-cryptonite 0.29-31
haskell-data-accessor 0.2.3-11
haskell-data-accessor-transformers 0.2.1.7-25
haskell-data-default 0.7.1.1-177
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-190
haskell-data-default-instances-old-locale 0.0.1-35
haskell-data-fix 0.3.2-16
haskell-diff 0.4.0-11
haskell-digest 0.0.1.3-1
haskell-distributive 0.6.2.1-116
haskell-dlist 1.0-113
haskell-doclayout 0.3.0.2-39
haskell-doctemplates 0.10.0.1-7
haskell-emojis 0.1-125
haskell-erf 2.0.0.0-23
haskell-errors 2.3.0-63
haskell-file-embed 0.0.14.0-3
haskell-gitrev 1.3.1-27
haskell-glob 0.10.2-4
haskell-haddock-library 1.10.0-65
haskell-hashable 1.3.4.0-4
haskell-hourglass 0.2.12-160
haskell-hslua 1.3.0.1-74
haskell-hslua-module-path 0.1.0.1-59
haskell-hslua-module-system 0.2.2.1-130
haskell-hslua-module-text 0.3.0.1-118
haskell-hsyaml 0.2.1.0-130
haskell-http 4000.3.16-89
haskell-http-client 0.7.9-13
haskell-http-client-tls 0.3.5.3-461
haskell-http-types 0.12.3-192
haskell-hxt 9.3.1.22-39
haskell-hxt-charproperties 9.5.0.0-3
haskell-hxt-regex-xmlschema 9.2.0.7-4
haskell-hxt-unicode 9.0.2.4-24
haskell-indexed-traversable 0.1.1-5
haskell-integer-logarithms 1.0.3.1-5
haskell-iproute 1.7.11-41
haskell-ipynb 0.1.0.1-249
haskell-jira-wiki-markup 1.4.0-27
haskell-juicypixels 3.3.6-4
haskell-memory 0.16.0-31
haskell-microlens 0.4.12.0-4
haskell-microlens-mtl 0.2.0.1-16
haskell-microlens-th 0.4.3.10-4
haskell-mime-types 0.1.0.9-13
haskell-mono-traversable 1.0.15.3-9
haskell-network 3.1.2.2-22
haskell-network-uri 2.6.4.1-49
haskell-old-locale 1.0.0.7-29
haskell-old-time 1.1.0.3-29
haskell-open-browser 0.2.1.0-27
haskell-optparse-applicative 0.16.1.0-164
haskell-pandoc-types 1.22-113
haskell-pem 0.2.4-194
haskell-primitive 0.7.2.0-28
haskell-quickcheck 2.14.2-234
haskell-random 1.2.1-23
haskell-regex-base 0.94.0.2-1
haskell-regex-pcre 0.95.0.0-12
haskell-regex-tdfa 1.3.1.1-24
haskell-resourcet 1.2.4.3-16
haskell-roman-numerals 0.5.1.5-29
haskell-safe 0.3.19-7
haskell-scientific 0.3.7.0-27
haskell-sha 1.6.4.4-18
haskell-skylighting 0.11-37
haskell-skylighting-core 0.11-39
haskell-socks 0.6.1-140
haskell-split 0.2.3.4-159
haskell-splitmix 0.1.0.4-6
haskell-streaming-commons 0.2.2.1-108
haskell-strict 0.4.0.1-82
haskell-syb 0.7.2.1-87
haskell-tagged 0.8.6.1-4
haskell-tagsoup 0.14.8-140
haskell-temporary 1.3-318
haskell-texmath 0.12.3.1-19
haskell-text-conversions 0.3.1-96
haskell-text-icu 0.7.1.0-4
haskell-th-abstraction 0.4.3.0-1
haskell-th-compat 0.1.3-11
haskell-th-lift 0.8.2-10
haskell-th-lift-instances 0.1.18-80
haskell-these 1.1.1.1-109
haskell-time-compat 1.9.6.1-11
haskell-tls 1.5.5-56
haskell-transformers-compat 0.7.1-1
haskell-typed-process 0.2.7.0-7
haskell-unicode-collation 0.1.3.1-4
haskell-unicode-data 0.1.0.1-2
haskell-unicode-transforms 0.3.8-18
haskell-uniplate 1.6.13-84
haskell-unliftio-core 0.2.0.1-8
haskell-unordered-containers 0.2.14.0-27
haskell-utf8-string 1.0.2-64
haskell-utility-ht 0.0.16-40
haskell-uuid-types 1.0.5-31
haskell-vector 0.12.3.1-14
haskell-vector-algorithms 0.8.0.4-79
haskell-x509 1.7.5-174
haskell-x509-store 1.6.7-173
haskell-x509-system 1.6.6-241
haskell-x509-validation 1.6.11-173
haskell-xml 1.3.14-29
haskell-xml-conduit 1.9.1.1-53
haskell-xml-types 0.3.8-7
haskell-zip-archive 0.4.1-146
haskell-zlib 0.6.2.3-47
help2man 1.48.5-1
